"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","372.10","381.50","385.81","371.17","38.19M","-5.12%"
"06/09/2026","392.16","401.61","407.87","370.33","37.03M","-1.12%"
"06/08/2026","396.60","402.62","402.84","391.35","37.10M","2.82%"
"06/05/2026","385.73","407.61","410.50","385.59","51.15M","-7.92%"
"06/04/2026","418.91","408.99","426.48","403.01","80.98M","-12.59%"
"06/03/2026","479.23","494.77","495.00","472.64","50.13M","-0.49%"
"06/02/2026","481.57","488.79","488.82","470.46","38.31M","4.70%"
"06/01/2026","459.97","450.09","466.05","442.22","30.59M","2.95%"
"05/29/2026","446.77","432.95","448.90","431.47","41.80M","4.73%"
"05/28/2026","426.58","421.14","429.68","414.01","17.86M","1.12%"
"05/27/2026","421.86","425.07","432.80","416.49","17.60M","-0.04%"
"05/26/2026","422.01","418.50","435.31","417.00","22.56M","1.90%"
"05/22/2026","414.14","417.49","419.99","410.21","14.09M","-0.10%"
"05/21/2026","414.57","413.55","422.25","410.50","16.87M","-0.76%"
"05/20/2026","417.76","412.81","424.17","411.42","16.31M","1.63%"
"05/19/2026","411.07","409.82","417.95","405.86","20.65M","-2.29%"
"05/18/2026","420.71","421.41","422.01","414.37","17.86M","-1.05%"
"05/15/2026","425.19","432.81","432.81","419.80","18.96M","-3.32%"
"05/14/2026","439.79","416.73","442.36","415.59","19.73M","5.52%"
"05/13/2026","416.79","415.80","418.63","404.80","16.98M","-0.60%"
"05/12/2026","419.30","423.43","429.34","408.41","19.00M","-2.13%"
"05/11/2026","428.43","427.61","433.65","425.05","16.83M","-0.37%"
