"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","201.26","198.50","212.48","198.18","46.11M","-2.21%"
"06/09/2026","205.81","213.90","220.50","197.79","26.04M","-2.84%"
"06/08/2026","211.82","217.75","219.06","209.33","17.23M","-0.87%"
"06/05/2026","213.68","229.49","231.44","209.45","29.02M","-9.59%"
"06/04/2026","236.34","227.00","238.95","224.00","19.99M","2.61%"
"06/03/2026","230.33","240.48","240.51","227.60","23.64M","-5.83%"
"06/02/2026","244.58","242.80","249.00","238.84","30.29M","-1.44%"
"06/01/2026","248.15","230.50","250.25","224.60","48.39M","9.91%"
"05/29/2026","225.78","209.00","226.29","208.01","41.08M","10.84%"
"05/28/2026","203.70","194.04","205.00","193.38","25.34M","6.67%"
"05/27/2026","190.96","191.48","192.14","187.92","12.13M","-1.09%"
"05/26/2026","193.06","193.30","195.20","190.56","12.86M","0.51%"
"05/22/2026","192.08","191.67","197.00","191.10","10.88M","1.22%"
"05/21/2026","189.77","189.01","192.82","187.20","12.12M","0.86%"
"05/20/2026","188.16","179.94","188.22","178.80","16.52M","3.69%"
"05/19/2026","181.46","186.00","188.72","180.93","16.72M","-2.76%"
"05/18/2026","186.61","190.00","190.76","183.27","19.11M","-3.29%"
"05/15/2026","192.95","190.49","196.43","188.90","15.75M","-1.36%"
"05/14/2026","195.61","188.18","200.71","185.45","22.54M","3.08%"
"05/13/2026","189.76","189.03","191.57","185.06","15.79M","1.57%"
"05/12/2026","186.83","192.92","192.92","180.87","22.12M","-3.62%"
"05/11/2026","193.84","192.15","195.68","190.60","16.89M","-1.08%"
