"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","291.58","290.74","294.75","287.38","52.79M","0.35%"
"06/09/2026","290.55","300.27","300.75","287.78","70.11M","-3.64%"
"06/08/2026","301.54","308.74","317.40","301.17","77.95M","-1.89%"
"06/05/2026","307.34","312.86","315.17","307.15","65.31M","-1.25%"
"06/04/2026","311.23","313.23","313.54","309.65","44.87M","0.31%"
"06/03/2026","310.26","314.17","316.94","308.85","50.84M","-1.57%"
"06/02/2026","315.20","307.46","315.45","306.68","44.53M","2.90%"
"06/01/2026","306.31","309.63","310.94","305.02","48.85M","-1.84%"
"05/29/2026","312.06","311.77","315.00","309.53","70.03M","-0.14%"
"05/28/2026","312.51","310.68","312.80","309.57","48.22M","0.53%"
"05/27/2026","310.85","308.33","313.26","308.30","50.43M","0.82%"
"05/26/2026","308.33","309.56","311.82","307.67","48.00M","-0.16%"
"05/22/2026","308.82","306.12","311.40","305.84","43.67M","1.26%"
"05/21/2026","304.99","301.05","305.54","300.40","42.97M","0.91%"
"05/20/2026","302.25","298.18","302.80","298.08","38.23M","1.10%"
"05/19/2026","298.97","296.97","300.51","296.35","42.24M","0.38%"
"05/18/2026","297.84","300.24","300.66","294.91","34.48M","-0.80%"
"05/15/2026","300.23","297.90","303.20","296.52","54.86M","0.68%"
"05/14/2026","298.21","299.82","300.45","295.38","35.32M","-0.22%"
"05/13/2026","298.87","293.50","300.92","293.50","52.68M","1.38%"
"05/12/2026","294.80","292.56","295.27","292.56","45.75M","0.72%"
"05/11/2026","292.68","291.98","293.88","290.23","42.25M","-0.22%"
