"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","452.40","467.97","477.45","448.33","27.78M","-4.86%"
"06/09/2026","475.51","502.75","505.00","437.23","37.80M","-3.02%"
"06/08/2026","490.33","485.00","494.97","477.71","25.16M","5.14%"
"06/05/2026","466.38","499.52","505.62","463.95","46.90M","-10.86%"
"06/04/2026","523.20","514.75","532.19","499.87","29.11M","-3.56%"
"06/03/2026","542.52","533.75","546.44","524.30","29.41M","4.02%"
"06/02/2026","521.54","506.30","522.49","501.22","24.29M","2.24%"
"06/01/2026","510.13","500.16","517.50","486.80","33.31M","-1.16%"
"05/29/2026","516.10","520.80","522.00","503.43","30.80M","-0.38%"
"05/28/2026","518.09","499.00","527.20","493.52","31.44M","4.55%"
"05/27/2026","495.54","508.00","510.21","486.66","27.59M","-1.66%"
"05/26/2026","503.89","484.74","506.96","480.23","38.47M","7.78%"
"05/22/2026","467.51","469.84","481.41","461.71","34.76M","3.99%"
"05/21/2026","449.59","441.99","451.20","431.60","27.25M","0.45%"
"05/20/2026","447.58","428.04","449.39","426.05","36.14M","8.10%"
"05/19/2026","414.05","412.60","428.75","393.36","38.76M","-1.65%"
"05/18/2026","420.99","429.50","438.80","410.71","28.43M","-0.73%"
"05/15/2026","424.10","433.34","439.00","423.36","29.13M","-5.69%"
"05/14/2026","449.70","440.60","453.31","435.68","26.11M","0.94%"
"05/13/2026","445.50","457.04","459.50","432.65","30.42M","-0.62%"
"05/12/2026","448.29","449.25","458.80","426.11","39.14M","-2.29%"
"05/11/2026","458.79","460.55","469.21","450.88","46.09M","0.79%"
