"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","153.97","152.82","161.71","152.19","6.41M","-0.98%"
"06/09/2026","155.50","157.24","164.98","149.90","8.90M","-4.08%"
"06/08/2026","162.11","156.60","164.28","154.98","8.83M","6.37%"
"06/05/2026","152.40","158.70","158.70","147.88","16.72M","-7.15%"
"06/04/2026","164.13","164.19","166.50","161.89","8.50M","0.56%"
"06/03/2026","163.22","171.54","172.00","162.75","9.54M","-6.19%"
"06/02/2026","173.99","177.17","178.55","171.67","9.23M","-4.72%"
"06/01/2026","182.61","179.21","186.60","176.18","9.06M","-3.40%"
"05/29/2026","189.03","180.23","191.83","178.85","10.25M","3.72%"
"05/28/2026","182.25","170.49","182.65","169.17","9.04M","4.87%"
"05/27/2026","173.78","176.38","179.85","173.71","8.20M","-3.46%"
"05/26/2026","180.01","186.07","187.80","179.11","7.75M","-2.69%"
"05/22/2026","184.99","194.02","195.59","184.60","7.93M","-4.43%"
"05/21/2026","193.56","189.80","195.70","187.67","5.67M","1.19%"
"05/20/2026","191.29","193.75","196.62","189.73","7.04M","-1.12%"
"05/19/2026","193.45","188.38","195.53","185.53","7.09M","2.12%"
"05/18/2026","189.44","190.25","194.20","184.15","10.40M","-3.07%"
"05/15/2026","195.43","205.64","206.00","192.30","14.43M","-7.82%"
"05/14/2026","212.01","201.25","222.35","195.10","16.58M","5.06%"
"05/13/2026","201.80","204.20","204.20","197.50","8.37M","-2.81%"
"05/12/2026","207.64","211.90","218.46","200.20","9.51M","-4.14%"
"05/11/2026","216.60","200.38","217.85","192.81","13.66M","7.68%"
