"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","115.35","116.30","120.94","115.00","15.69M","-1.43%"
"06/09/2026","117.02","122.85","125.55","114.21","23.06M","-8.00%"
"06/08/2026","127.20","125.84","129.00","123.14","20.95M","5.61%"
"06/05/2026","120.44","124.25","125.30","114.31","41.94M","-6.90%"
"06/04/2026","129.37","126.75","131.47","125.65","24.59M","2.23%"
"06/03/2026","126.54","134.50","138.18","125.00","21.14M","-7.01%"
"06/02/2026","136.08","142.68","142.80","134.11","31.13M","-9.15%"
"06/01/2026","149.78","148.46","153.87","144.29","17.78M","-5.85%"
"05/29/2026","159.09","149.93","162.06","148.20","19.23M","4.91%"
"05/28/2026","151.64","148.98","153.64","144.30","16.28M","-1.66%"
"05/27/2026","154.20","156.76","157.55","153.82","11.89M","-3.58%"
"05/26/2026","159.93","160.83","167.00","159.28","11.82M","0.03%"
"05/22/2026","159.89","164.09","165.66","159.24","12.79M","-3.01%"
"05/21/2026","164.85","164.28","168.71","160.57","10.53M","-0.58%"
"05/20/2026","165.81","166.00","169.23","163.26","9.83M","0.72%"
"05/19/2026","164.63","163.99","168.49","163.50","10.00M","-1.20%"
"05/18/2026","166.63","169.18","169.18","162.02","19.30M","-6.08%"
"05/15/2026","177.42","182.11","182.23","173.61","19.65M","-5.11%"
"05/14/2026","186.97","177.85","193.00","174.64","15.86M","5.02%"
"05/13/2026","178.03","182.03","182.48","175.57","12.48M","-3.46%"
"05/12/2026","184.42","191.32","192.24","179.85","14.74M","-5.88%"
"05/11/2026","195.94","189.20","197.00","182.31","16.06M","4.45%"
