"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","200.42","204.43","207.22","199.92","161.75M","-3.73%"
"06/09/2026","208.19","210.62","211.40","199.34","180.96M","-0.22%"
"06/08/2026","208.64","210.18","210.47","206.00","138.37M","1.73%"
"06/05/2026","205.10","214.53","214.87","204.33","219.66M","-6.20%"
"06/04/2026","218.66","213.90","221.60","210.97","169.02M","1.82%"
"06/03/2026","214.75","221.72","222.82","214.51","160.91M","-3.62%"
"06/02/2026","222.82","227.18","232.28","221.35","193.36M","-0.69%"
"06/01/2026","224.36","215.73","224.87","215.70","212.85M","6.26%"
"05/29/2026","211.14","214.57","217.86","211.13","289.41M","-1.45%"
"05/28/2026","214.25","211.27","215.52","211.22","144.00M","0.78%"
"05/27/2026","212.60","214.12","214.15","208.78","167.60M","-1.05%"
"05/26/2026","214.86","216.54","218.18","212.00","187.20M","-0.22%"
"05/22/2026","215.33","220.90","221.01","214.80","169.28M","-1.90%"
"05/21/2026","219.51","222.29","227.40","217.93","203.38M","-1.77%"
"05/20/2026","223.47","223.18","226.13","220.49","184.20M","1.30%"
"05/19/2026","220.61","219.62","224.48","217.91","140.95M","-0.77%"
"05/18/2026","222.32","229.87","230.00","218.37","146.28M","-1.33%"
"05/15/2026","225.32","229.76","231.50","224.24","180.98M","-4.42%"
"05/14/2026","235.74","229.85","236.54","229.30","180.78M","4.39%"
"05/13/2026","225.83","224.93","227.84","221.57","150.41M","2.29%"
"05/12/2026","220.78","218.54","223.75","214.92","159.18M","0.61%"
"05/11/2026","219.44","214.04","222.30","213.89","160.69M","1.97%"
