"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","381.59","391.54","397.09","380.15","49.70M","-3.80%"
"06/09/2026","396.68","411.03","418.50","384.24","59.94M","-3.00%"
"06/08/2026","408.95","396.33","412.94","394.72","50.33M","4.59%"
"06/05/2026","391.00","420.50","424.68","388.59","63.42M","-6.56%"
"06/04/2026","418.45","419.84","426.35","417.16","35.32M","-1.24%"
"06/03/2026","423.70","418.70","433.60","416.00","44.50M","-0.01%"
"06/02/2026","423.74","418.22","424.42","413.65","37.60M","1.89%"
"06/01/2026","415.88","427.49","429.60","415.43","44.94M","-4.57%"
"05/29/2026","435.79","439.85","441.07","428.14","45.18M","-1.43%"
"05/28/2026","442.10","437.61","443.96","436.30","32.43M","0.40%"
"05/27/2026","440.36","442.89","445.60","435.52","44.66M","1.56%"
"05/26/2026","433.59","430.26","435.20","426.12","45.66M","1.78%"
"05/22/2026","426.01","422.67","431.51","420.51","46.10M","1.95%"
"05/21/2026","417.85","422.17","426.95","412.90","42.64M","0.14%"
"05/20/2026","417.26","407.60","417.46","406.39","45.29M","3.25%"
"05/19/2026","404.11","403.16","405.63","393.63","46.50M","-1.43%"
"05/18/2026","409.99","419.27","421.13","405.33","52.47M","-2.90%"
"05/15/2026","422.24","433.98","434.66","422.00","52.69M","-4.75%"
"05/14/2026","443.30","446.49","451.98","441.16","46.07M","-0.44%"
"05/13/2026","445.27","436.67","453.40","430.21","68.28M","2.73%"
"05/12/2026","433.45","441.41","447.80","422.26","60.57M","-2.60%"
"05/11/2026","445.00","422.16","449.16","416.80","78.38M","3.89%"
